epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1027.61,1.08209,0.80523,1.0792,0.93354,0.91283,0.94715,0.75676,0.84318,0.56635,0.98938,0.0090298,0.0090298,0.0090298
100,1036.56,1.09299,0.80595,1.08291,0.87877,0.82989,0.91116,0.73843,0.86746,0.62186,0.99115,0.0090199,0.0090199,0.0090199
101,1047.41,1.03555,0.82189,1.07547,0.96216,0.82569,0.92803,0.78314,0.81166,0.58795,0.97531,0.00901,0.00901,0.00901
102,1058.06,1.0935,0.81322,1.08556,0.92224,0.90266,0.94779,0.73818,0.90249,0.61364,1.00196,0.0090001,0.0090001,0.0090001
103,1067.46,1.09292,0.84171,1.08233,0.85443,0.81757,0.85598,0.69985,0.84815,0.63828,0.9929,0.0089902,0.0089902,0.0089902
104,1078.81,1.07674,0.81737,1.09002,0.92523,0.8601,0.93908,0.76436,0.82736,0.57761,0.99064,0.0089803,0.0089803,0.0089803
105,1088.47,1.07474,0.82659,1.08842,0.89423,0.85543,0.92308,0.75314,0.81403,0.56113,0.9896,0.0089704,0.0089704,0.0089704
106,1098.55,1.07151,0.8182,1.07828,0.92572,0.8601,0.92357,0.75158,0.80804,0.53383,0.97092,0.0089605,0.0089605,0.0089605
107,1110.13,1.05692,0.83035,1.08304,0.95163,0.91183,0.94073,0.77563,0.76138,0.52241,0.95832,0.0089506,0.0089506,0.0089506
108,1119.05,1.06455,0.79891,1.07173,0.95091,0.91344,0.94158,0.73897,0.83119,0.5463,0.98365,0.0089407,0.0089407,0.0089407
109,1130.06,1.06414,0.80918,1.08358,0.9397,0.91795,0.94042,0.74737,0.82356,0.56172,0.9725,0.0089308,0.0089308,0.0089308
110,1140.96,1.06812,0.82596,1.08335,0.85068,0.79343,0.91012,0.71298,0.86752,0.6307,0.98578,0.0089209,0.0089209,0.0089209
111,1149.85,1.04327,0.80246,1.07304,0.89719,0.88844,0.93798,0.73469,0.87721,0.58152,0.97469,0.008911,0.008911,0.008911
112,1161.36,1.06919,0.79956,1.07293,0.94568,0.91956,0.9533,0.76717,0.80781,0.52165,0.96183,0.0089011,0.0089011,0.0089011
113,1172.08,1.06864,0.79435,1.06933,0.97176,0.90776,0.95952,0.78004,0.81781,0.50584,0.96955,0.0088912,0.0088912,0.0088912
114,1180.95,1.04199,0.80081,1.07165,0.96696,0.86192,0.9478,0.78117,0.81866,0.5413,0.98466,0.0088813,0.0088813,0.0088813
115,1191.96,1.08415,0.80092,1.0703,0.94768,0.78794,0.91427,0.7124,0.88692,0.59064,1.02413,0.0088714,0.0088714,0.0088714
116,1203.3,1.0604,0.78869,1.07384,0.94433,0.83062,0.93609,0.74361,0.81654,0.5795,0.97084,0.0088615,0.0088615,0.0088615
117,1212.2,1.04367,0.79333,1.06968,0.92893,0.81192,0.93905,0.73101,0.86456,0.60384,0.97822,0.0088516,0.0088516,0.0088516
118,1223.35,1.03096,0.78054,1.06275,0.92889,0.80192,0.92662,0.74769,0.7971,0.5634,0.96025,0.0088417,0.0088417,0.0088417
119,1233.78,1.04708,0.79064,1.07303,0.88288,0.84041,0.93272,0.74291,0.85605,0.52979,0.97764,0.0088318,0.0088318,0.0088318
120,1243.37,1.03991,0.77917,1.06539,0.95509,0.85987,0.93098,0.7617,0.834,0.56288,0.96933,0.0088219,0.0088219,0.0088219
121,1254.65,1.0483,0.78317,1.05987,0.98453,0.88489,0.93483,0.7856,0.78759,0.53402,0.97747,0.008812,0.008812,0.008812
122,1264.09,1.05143,0.78612,1.06929,0.90487,0.92932,0.94262,0.77376,0.822,0.52875,0.96347,0.0088021,0.0088021,0.0088021
123,1274.71,1.02406,0.77577,1.06342,0.98166,0.87657,0.9417,0.76129,0.84206,0.58387,0.98857,0.0087922,0.0087922,0.0087922
124,1286.15,1.03973,0.7946,1.06624,0.93736,0.93511,0.94823,0.78636,0.82922,0.52684,0.97278,0.0087823,0.0087823,0.0087823
125,1294.97,1.04878,0.788,1.07418,0.93174,0.89745,0.93179,0.74258,0.84504,0.55553,0.97662,0.0087724,0.0087724,0.0087724
126,1306.35,1.03895,0.76819,1.06166,0.96281,0.88553,0.93071,0.77586,0.79092,0.5497,0.95072,0.0087625,0.0087625,0.0087625
127,1317.36,1.02755,0.78014,1.07722,0.9432,0.91986,0.94491,0.75903,0.82993,0.52343,0.96859,0.0087526,0.0087526,0.0087526
128,1326.3,1.05084,0.77388,1.06944,0.97451,0.93692,0.95142,0.77052,0.85737,0.51191,0.99052,0.0087427,0.0087427,0.0087427
129,1337.51,1.03981,0.7877,1.06484,0.90192,0.92096,0.94638,0.7584,0.82573,0.5078,0.97337,0.0087328,0.0087328,0.0087328
130,1348.16,1.07243,0.79326,1.06643,0.9392,0.92038,0.93859,0.74637,0.86342,0.53444,1.01858,0.0087229,0.0087229,0.0087229
131,1357.91,1.04373,0.77528,1.0673,0.97319,0.90061,0.94124,0.75915,0.82298,0.52673,0.99174,0.008713,0.008713,0.008713
132,1369.04,1.04354,0.79571,1.07088,0.97948,0.88766,0.9584,0.77989,0.79287,0.5175,0.97709,0.0087031,0.0087031,0.0087031
133,1378.66,1.02758,0.78179,1.06241,0.96761,0.90539,0.94339,0.76818,0.7945,0.52534,0.96706,0.0086932,0.0086932,0.0086932
134,1388.92,1.04977,0.77182,1.05956,0.93293,0.90615,0.94192,0.74777,0.82061,0.52228,0.96902,0.0086833,0.0086833,0.0086833
135,1400.02,1.03633,0.77766,1.06579,0.97803,0.92345,0.93523,0.76798,0.80735,0.51471,0.98301,0.0086734,0.0086734,0.0086734
136,1409.3,1.04142,0.76413,1.06984,0.9443,0.83208,0.91888,0.74992,0.81917,0.54204,0.98023,0.0086635,0.0086635,0.0086635
137,1419.86,1.03356,0.78524,1.0645,0.95,0.81973,0.92925,0.76447,0.77825,0.56403,0.98275,0.0086536,0.0086536,0.0086536
138,1431.36,1.03614,0.75616,1.05379,0.91529,0.77298,0.91069,0.7522,0.78197,0.53716,0.97081,0.0086437,0.0086437,0.0086437
139,1440.2,1.03021,0.77138,1.06175,0.8755,0.9001,0.93231,0.76675,0.78631,0.56996,0.96656,0.0086338,0.0086338,0.0086338
140,1451.25,1.02833,0.7584,1.05575,0.9053,0.94229,0.95689,0.76561,0.80093,0.523,0.9679,0.0086239,0.0086239,0.0086239
141,1462.39,1.05868,0.77076,1.06539,0.87089,0.87363,0.93187,0.74569,0.80711,0.5377,0.96082,0.008614,0.008614,0.008614
142,1471.24,1.0335,0.7734,1.06999,0.94043,0.90303,0.93802,0.76931,0.77176,0.54983,0.96086,0.0086041,0.0086041,0.0086041
143,1482.52,1.04713,0.77372,1.05994,0.89156,0.93312,0.94914,0.80245,0.79645,0.56109,0.96386,0.0085942,0.0085942,0.0085942
144,1493.69,1.04288,0.77455,1.06083,0.95711,0.89966,0.95579,0.77224,0.80375,0.52462,0.96218,0.0085843,0.0085843,0.0085843
